,prname,numconf,date,doublingrate
0,Newfoundland and Labrador,0,11-03-2020,inf
1,Newfoundland and Labrador,0,12-03-2020,inf
2,Newfoundland and Labrador,0,13-03-2020,inf
3,Newfoundland and Labrador,0,14-03-2020,inf
4,Newfoundland and Labrador,0,15-03-2020,inf
5,Newfoundland and Labrador,0,16-03-2020,inf
6,Newfoundland and Labrador,0,17-03-2020,inf
7,Newfoundland and Labrador,0,18-03-2020,1.0
8,Newfoundland and Labrador,1,19-03-2020,inf
9,Newfoundland and Labrador,3,20-03-2020,3.0
10,Newfoundland and Labrador,3,21-03-2020,2.0
11,Newfoundland and Labrador,3,22-03-2020,2.0
12,Newfoundland and Labrador,4,23-03-2020,1.0
13,Newfoundland and Labrador,4,24-03-2020,2.0
14,Newfoundland and Labrador,67,25-03-2020,2.0
15,Newfoundland and Labrador,82,26-03-2020,4.0
16,Newfoundland and Labrador,102,27-03-2020,4.0
17,Newfoundland and Labrador,120,28-03-2020,5.0
18,Newfoundland and Labrador,135,29-03-2020,6.0
19,Newfoundland and Labrador,148,30-03-2020,8.0
20,Newfoundland and Labrador,152,31-03-2020,27.0
21,Newfoundland and Labrador,175,01-04-2020,5.0
22,Newfoundland and Labrador,183,02-04-2020,16.0
23,Newfoundland and Labrador,183,03-04-2020,inf
24,Newfoundland and Labrador,195,04-04-2020,11.0
25,Newfoundland and Labrador,217,05-04-2020,7.0
26,Newfoundland and Labrador,226,06-04-2020,18.0
27,Newfoundland and Labrador,228,07-04-2020,80.0
28,Newfoundland and Labrador,232,08-04-2020,40.0
29,Newfoundland and Labrador,236,09-04-2020,41.0
30,Newfoundland and Labrador,239,10-04-2020,55.0
31,Newfoundland and Labrador,241,11-04-2020,83.0
32,Newfoundland and Labrador,242,12-04-2020,170.0
33,Newfoundland and Labrador,244,13-04-2020,84.0
34,Newfoundland and Labrador,244,14-04-2020,inf
35,Newfoundland and Labrador,247,15-04-2020,57.0
36,Newfoundland and Labrador,252,16-04-2020,35.0
37,Newfoundland and Labrador,256,17-04-2020,44.0
38,Newfoundland and Labrador,257,18-04-2020,179.0
39,Newfoundland and Labrador,257,19-04-2020,inf
40,Newfoundland and Labrador,257,20-04-2020,inf
41,Newfoundland and Labrador,257,21-04-2020,inf
42,Newfoundland and Labrador,256,22-04-2020,-177.0
43,Newfoundland and Labrador,256,23-04-2020,inf
44,Newfoundland and Labrador,256,24-04-2020,inf
45,Newfoundland and Labrador,257,25-04-2020,179.0
46,Newfoundland and Labrador,258,26-04-2020,179.0
47,Newfoundland and Labrador,258,27-04-2020,inf
48,Newfoundland and Labrador,258,28-04-2020,inf
49,Newfoundland and Labrador,258,29-04-2020,inf
50,Newfoundland and Labrador,258,30-04-2020,inf
51,Newfoundland and Labrador,259,01-05-2020,179.0
52,Newfoundland and Labrador,259,02-05-2020,inf
53,Newfoundland and Labrador,259,03-05-2020,inf
54,Newfoundland and Labrador,259,04-05-2020,inf
55,Newfoundland and Labrador,259,05-05-2020,inf
56,Newfoundland and Labrador,259,06-05-2020,inf
57,Newfoundland and Labrador,261,07-05-2020,91.0
58,Newfoundland and Labrador,261,08-05-2020,inf
59,Newfoundland and Labrador,261,09-05-2020,inf
60,Newfoundland and Labrador,261,10-05-2020,inf
61,Newfoundland and Labrador,261,11-05-2020,inf
62,Newfoundland and Labrador,261,12-05-2020,inf
63,Newfoundland and Labrador,261,13-05-2020,inf
64,Newfoundland and Labrador,261,14-05-2020,inf
65,Newfoundland and Labrador,260,15-05-2020,-182.0
66,Newfoundland and Labrador,260,16-05-2020,inf
67,Newfoundland and Labrador,260,17-05-2020,inf
68,Newfoundland and Labrador,260,18-05-2020,inf
69,Newfoundland and Labrador,260,19-05-2020,inf
70,Newfoundland and Labrador,260,20-05-2020,inf
71,Newfoundland and Labrador,260,21-05-2020,inf
72,Newfoundland and Labrador,260,22-05-2020,inf
73,Newfoundland and Labrador,260,23-05-2020,inf
74,Newfoundland and Labrador,260,24-05-2020,inf
75,Newfoundland and Labrador,260,25-05-2020,inf
76,Newfoundland and Labrador,260,26-05-2020,inf
77,Newfoundland and Labrador,260,27-05-2020,inf
78,Newfoundland and Labrador,261,28-05-2020,183.0
79,Newfoundland and Labrador,261,29-05-2020,inf
80,Newfoundland and Labrador,261,30-05-2020,inf
81,Newfoundland and Labrador,261,31-05-2020,inf
82,Newfoundland and Labrador,261,01-06-2020,inf
83,Newfoundland and Labrador,261,02-06-2020,inf
84,Newfoundland and Labrador,261,03-06-2020,inf
85,Newfoundland and Labrador,261,04-06-2020,inf
86,Newfoundland and Labrador,261,05-06-2020,inf
87,Newfoundland and Labrador,261,06-06-2020,inf
88,Newfoundland and Labrador,261,07-06-2020,inf
89,Newfoundland and Labrador,261,08-06-2020,inf
90,Newfoundland and Labrador,261,09-06-2020,inf
91,Newfoundland and Labrador,261,10-06-2020,inf
92,Newfoundland and Labrador,261,11-06-2020,inf
93,Newfoundland and Labrador,261,12-06-2020,inf
94,Newfoundland and Labrador,261,13-06-2020,inf
95,Newfoundland and Labrador,261,14-06-2020,inf
96,Newfoundland and Labrador,261,15-06-2020,inf
97,Newfoundland and Labrador,261,16-06-2020,inf
98,Newfoundland and Labrador,261,17-06-2020,inf
99,Newfoundland and Labrador,261,18-06-2020,inf
100,Newfoundland and Labrador,261,19-06-2020,inf
101,Newfoundland and Labrador,261,20-06-2020,inf
102,Newfoundland and Labrador,261,21-06-2020,inf
