,prname,numconf,date,doublingrate
0,Ontario,3,31-01-2020,1.0
1,Ontario,3,08-02-2020,inf
2,Ontario,3,16-02-2020,inf
3,Ontario,3,21-02-2020,inf
4,Ontario,4,24-02-2020,3.0
5,Ontario,4,25-02-2020,inf
6,Ontario,5,26-02-2020,4.0
7,Ontario,6,27-02-2020,4.0
8,Ontario,8,29-02-2020,3.0
9,Ontario,15,01-03-2020,2.0
10,Ontario,20,03-03-2020,3.0
11,Ontario,22,05-03-2020,8.0
12,Ontario,28,06-03-2020,3.0
13,Ontario,28,07-03-2020,inf
14,Ontario,31,08-03-2020,7.0
15,Ontario,34,09-03-2020,8.0
16,Ontario,42,11-03-2020,4.0
17,Ontario,59,12-03-2020,3.0
18,Ontario,79,13-03-2020,3.0
19,Ontario,79,14-03-2020,inf
20,Ontario,103,15-03-2020,3.0
21,Ontario,145,16-03-2020,3.0
22,Ontario,177,17-03-2020,4.0
23,Ontario,189,18-03-2020,11.0
24,Ontario,258,19-03-2020,3.0
25,Ontario,311,20-03-2020,4.0
26,Ontario,377,21-03-2020,4.0
27,Ontario,425,22-03-2020,6.0
28,Ontario,503,23-03-2020,5.0
29,Ontario,588,24-03-2020,5.0
30,Ontario,688,25-03-2020,5.0
31,Ontario,858,26-03-2020,4.0
32,Ontario,993,27-03-2020,5.0
33,Ontario,993,28-03-2020,inf
34,Ontario,1355,29-03-2020,3.0
35,Ontario,1706,30-03-2020,4.0
36,Ontario,1966,31-03-2020,5.0
37,Ontario,2392,01-04-2020,4.0
38,Ontario,2793,02-04-2020,5.0
39,Ontario,3255,03-04-2020,5.0
40,Ontario,3630,04-04-2020,7.0
41,Ontario,4038,05-04-2020,7.0
42,Ontario,4347,06-04-2020,10.0
43,Ontario,4726,07-04-2020,9.0
44,Ontario,5276,08-04-2020,7.0
45,Ontario,5759,09-04-2020,8.0
46,Ontario,6237,10-04-2020,9.0
47,Ontario,6648,11-04-2020,11.0
48,Ontario,7049,12-04-2020,12.0
49,Ontario,7470,13-04-2020,12.0
50,Ontario,7953,14-04-2020,12.0
51,Ontario,8447,15-04-2020,12.0
52,Ontario,8961,16-04-2020,12.0
53,Ontario,9525,17-04-2020,12.0
54,Ontario,10010,18-04-2020,14.0
55,Ontario,10578,19-04-2020,13.0
56,Ontario,11184,20-04-2020,13.0
57,Ontario,11735,21-04-2020,15.0
58,Ontario,12245,22-04-2020,17.0
59,Ontario,12879,23-04-2020,14.0
60,Ontario,13519,24-04-2020,15.0
61,Ontario,13995,25-04-2020,21.0
62,Ontario,14432,26-04-2020,23.0
63,Ontario,14856,27-04-2020,24.0
64,Ontario,15381,28-04-2020,20.0
65,Ontario,15728,29-04-2020,32.0
66,Ontario,16187,30-04-2020,25.0
67,Ontario,16608,01-05-2020,28.0
68,Ontario,17119,02-05-2020,23.0
69,Ontario,17553,03-05-2020,28.0
70,Ontario,17923,04-05-2020,34.0
71,Ontario,18310,05-05-2020,33.0
72,Ontario,18722,06-05-2020,32.0
73,Ontario,19121,07-05-2020,33.0
74,Ontario,19598,08-05-2020,29.0
75,Ontario,19944,09-05-2020,40.0
76,Ontario,20238,10-05-2020,48.0
77,Ontario,20546,11-05-2020,46.0
78,Ontario,20907,12-05-2020,40.0
79,Ontario,21236,13-05-2020,45.0
80,Ontario,21581,14-05-2020,44.0
81,Ontario,21922,15-05-2020,45.0
82,Ontario,22313,16-05-2020,40.0
83,Ontario,22653,17-05-2020,46.0
84,Ontario,22957,18-05-2020,53.0
85,Ontario,23384,19-05-2020,38.0
86,Ontario,23774,20-05-2020,42.0
87,Ontario,24187,21-05-2020,41.0
88,Ontario,24628,22-05-2020,39.0
89,Ontario,25040,23-05-2020,42.0
90,Ontario,25500,24-05-2020,39.0
91,Ontario,25904,25-05-2020,45.0
92,Ontario,26191,26-05-2020,63.0
93,Ontario,26483,27-05-2020,63.0
94,Ontario,26866,28-05-2020,49.0
95,Ontario,27210,29-05-2020,55.0
96,Ontario,27533,30-05-2020,59.0
97,Ontario,27859,31-05-2020,60.0
98,Ontario,28263,01-06-2020,49.0
99,Ontario,28709,02-06-2020,45.0
100,Ontario,29047,03-06-2020,60.0
101,Ontario,29403,04-06-2020,57.0
102,Ontario,29747,05-06-2020,60.0
103,Ontario,30202,06-06-2020,46.0
104,Ontario,30617,07-06-2020,51.0
105,Ontario,30860,08-06-2020,89.0
106,Ontario,31090,09-06-2020,93.0
107,Ontario,31341,10-06-2020,86.0
108,Ontario,31544,11-06-2020,107.0
109,Ontario,31726,12-06-2020,120.0
110,Ontario,31992,13-06-2020,83.0
111,Ontario,32189,14-06-2020,113.0
112,Ontario,32370,15-06-2020,125.0
113,Ontario,32554,16-06-2020,122.0
114,Ontario,32744,17-06-2020,120.0
115,Ontario,32917,18-06-2020,132.0
116,Ontario,33095,19-06-2020,129.0
