,prname,numconf,date,doublingrate
0,Quebec,1,01-03-2020,1.0
1,Quebec,1,03-03-2020,inf
2,Quebec,2,05-03-2020,1.0
3,Quebec,2,06-03-2020,inf
4,Quebec,2,07-03-2020,inf
5,Quebec,3,08-03-2020,2.0
6,Quebec,4,09-03-2020,3.0
7,Quebec,7,11-03-2020,2.0
8,Quebec,13,12-03-2020,2.0
9,Quebec,17,13-03-2020,3.0
10,Quebec,17,14-03-2020,inf
11,Quebec,24,15-03-2020,3.0
12,Quebec,39,16-03-2020,2.0
13,Quebec,50,17-03-2020,3.0
14,Quebec,74,18-03-2020,2.0
15,Quebec,121,19-03-2020,2.0
16,Quebec,139,20-03-2020,5.0
17,Quebec,202,21-03-2020,2.0
18,Quebec,221,22-03-2020,inf
19,Quebec,221,23-03-2020,1.0
20,Quebec,221,24-03-2020,2.0
21,Quebec,1339,25-03-2020,3.0
22,Quebec,1629,26-03-2020,4.0
23,Quebec,2021,27-03-2020,4.0
24,Quebec,2498,28-03-2020,4.0
25,Quebec,2840,29-03-2020,6.0
26,Quebec,3430,30-03-2020,4.0
27,Quebec,4162,31-03-2020,4.0
28,Quebec,4611,01-04-2020,7.0
29,Quebec,5518,02-04-2020,4.0
30,Quebec,6101,03-04-2020,7.0
31,Quebec,6997,04-04-2020,6.0
32,Quebec,7944,05-04-2020,6.0
33,Quebec,8580,06-04-2020,9.0
34,Quebec,9340,07-04-2020,9.0
35,Quebec,10031,08-04-2020,10.0
36,Quebec,10912,09-04-2020,9.0
37,Quebec,11677,10-04-2020,11.0
38,Quebec,12292,11-04-2020,14.0
39,Quebec,12846,12-04-2020,16.0
40,Quebec,13557,13-04-2020,13.0
41,Quebec,14248,14-04-2020,14.0
42,Quebec,14860,15-04-2020,17.0
43,Quebec,15857,16-04-2020,11.0
44,Quebec,16798,17-04-2020,13.0
45,Quebec,17521,18-04-2020,17.0
46,Quebec,18357,19-04-2020,15.0
47,Quebec,19319,20-04-2020,14.0
48,Quebec,20126,21-04-2020,17.0
49,Quebec,20965,22-04-2020,17.0
50,Quebec,21838,23-04-2020,18.0
51,Quebec,22616,24-04-2020,20.0
52,Quebec,23267,25-04-2020,25.0
53,Quebec,24107,26-04-2020,20.0
54,Quebec,24982,27-04-2020,20.0
55,Quebec,25757,28-04-2020,23.0
56,Quebec,26594,29-04-2020,22.0
57,Quebec,27538,30-04-2020,20.0
58,Quebec,28648,01-05-2020,18.0
59,Quebec,29656,02-05-2020,21.0
60,Quebec,31865,03-05-2020,10.0
61,Quebec,32623,04-05-2020,30.0
62,Quebec,33417,05-05-2020,29.0
63,Quebec,34327,06-05-2020,26.0
64,Quebec,35238,07-05-2020,27.0
65,Quebec,36150,08-05-2020,28.0
66,Quebec,36986,09-05-2020,31.0
67,Quebec,37721,10-05-2020,36.0
68,Quebec,38469,11-05-2020,36.0
69,Quebec,39225,12-05-2020,36.0
70,Quebec,39931,13-05-2020,39.0
71,Quebec,40724,14-05-2020,36.0
72,Quebec,41420,15-05-2020,41.0
73,Quebec,42183,16-05-2020,39.0
74,Quebec,42920,17-05-2020,40.0
75,Quebec,43627,18-05-2020,43.0
76,Quebec,44197,19-05-2020,54.0
77,Quebec,44775,20-05-2020,54.0
78,Quebec,45495,21-05-2020,44.0
79,Quebec,46141,22-05-2020,50.0
80,Quebec,46838,23-05-2020,47.0
81,Quebec,47411,24-05-2020,58.0
82,Quebec,47984,25-05-2020,58.0
83,Quebec,48598,26-05-2020,55.0
84,Quebec,49139,27-05-2020,63.0
85,Quebec,49702,28-05-2020,61.0
86,Quebec,50232,29-05-2020,66.0
87,Quebec,50651,30-05-2020,84.0
88,Quebec,51059,31-05-2020,86.0
89,Quebec,51354,01-06-2020,120.0
90,Quebec,51593,02-06-2020,148.0
91,Quebec,51884,03-06-2020,125.0
92,Quebec,52143,04-06-2020,139.0
93,Quebec,52398,05-06-2020,142.0
94,Quebec,52624,06-06-2020,162.0
95,Quebec,52849,07-06-2020,162.0
96,Quebec,53047,08-06-2020,188.0
97,Quebec,53185,09-06-2020,267.0
98,Quebec,53341,10-06-2020,240.0
99,Quebec,53485,11-06-2020,258.0
100,Quebec,53666,12-06-2020,205.0
101,Quebec,53824,13-06-2020,240.0
102,Quebec,53952,14-06-2020,290.0
103,Quebec,54054,15-06-2020,366.0
104,Quebec,54146,16-06-2020,409.0
105,Quebec,54263,17-06-2020,316.0
106,Quebec,54383,18-06-2020,316.0
107,Quebec,54550,19-06-2020,224.0
